Gene Symbol,pLI,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile,pHI,pTS
SLC25A48,0.3910144779106,0.527368849079974,80.7324840764331,0.10208,0.19377
SLC25A51,0.0492003687342311,-0.139478552603161,43.2944090587403,0.3802,0.6716
SLC26A1,4.01304192741795e-06,0.236922631933423,68.7308327435716,0.11401,0.26602
SLC26A11,4.10510695836507e-10,0.0312194465024258,55.8445388063222,0.28729,0.36723
SLC26A2,2.16616893086973e-05,0.18008317814504,66.1653691908469,0.33342,0.18892
SLC26A3,3.07620637453319e-10,0.602602981748289,82.8733191790517,0.20225,0.16512
SLC26A4,6.36692519367205e-13,1.13903038745452,92.344892663364,0.08114,0.07524
SLC26A5,0.00137555507026871,-0.35448051846324,29.4291106393017,0.24289,0.4807
SLC26A6,3.31045065696163e-05,-0.0642426132270674,48.8440669969332,0.19358,0.66533
SLC26A7,3.32458521232632e-08,0.112125503199394,62.0960132106629,0.28928,0.21041
SLC26A8,7.64803110765732e-08,0.694433477290103,85.2854446803491,0.1649,0.36468
SLC26A9,0.0029854587016256,-0.143334748091362,42.3507902807266,0.63151,0.70764
SLC27A1,0.000340153810588742,-0.799052815950315,12.4557678697806,0.31222,0.4998
SLC27A2,2.58257558060631e-05,-0.488577883484902,22.6468506723284,0.45845,0.38845
SLC27A3,7.8014773851824e-11,-0.815648973082848,12.0134465675867,0.07867,0.34192
SLC27A4,0.00122183971500027,-1.08385907112567,7.19509318235433,0.29018,0.56941
SLC27A5,7.7072921738533e-08,0.292133603343596,71.5970747817882,0.09738,0.26571
SLC27A6,2.858831106907e-09,-0.132199953450165,43.9785326728002,0.22667,0.05892
SLC28A1,6.34799091474105e-07,0.762397607248147,86.8542108987969,0.06811,0.04064
SLC28A2,9.71272786078653e-12,0.58055639546378,82.313045529606,0.04982,0.08275
SLC28A3,1.9648660260768e-17,0.846940206518054,88.4760556735079,0.32096,0.11977
SLC29A1,0.964281534686621,0.57327981562424,82.0830384524652,0.8201,0.71068
SLC29A2,1.32364671800173e-08,-0.600630256114482,18.0644019815994,0.13708,0.49342
SLC29A3,2.99085356226281e-08,0.426231450226206,77.2941731540458,0.12762,0.09172
SLC2A1,0.939808130156394,-1.04521635476137,7.66100495399859,0.93241,0.9914
SLC2A10,0.00820173708336499,0.22599523927114,68.5185185185185,0.21848,0.07415
SLC2A11,5.45933694484048e-12,0.756930626973399,86.795234725171,0.17837,0.43004
SLC2A12,0.0194084110413465,-1.15363877713573,6.23378155225289,0.65105,0.28887
