No,gene,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
44,AKT3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
45,ALDH18A1,"HP:0001627, HP:0001713",2,,
46,ALG1,HP:0001627,1,,
47,ALG12,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011623, HP:0011994",10,,
48,ALG3,HP:0001627,1,0.001966176,
49,ALG8,"HP:0001627, HP:0001671",2,,
50,ALG9,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001695, HP:0001707, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011103, HP:0011994",14,,
51,ALKBH8,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
52,ALMS1,HP:0001627,1,,
53,ALPK3,HP:0001627,1,0.045562712,
54,ALX1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
55,ALX3,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
56,AMER1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.04919164,
57,AMMECR1,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001655, HP:0001671, HP:0005120, HP:0011994",8,,0.009786994
58,ANK1,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001671, HP:0005120, HP:0006705, HP:0011994",8,,
59,ANKRD1,HP:0001627,1,3.04354E-09,
60,ANKRD11,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0045017",6,,0.016544394
61,ANKS6,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
62,ANO5,HP:0001627,1,,
63,APC2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
64,APOB,"HP:0001627, HP:0001713",2,,
65,ARCN1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.006463323,
66,ARF1,"HP:0001627, HP:0001654",2,1.09809E-05,
67,ARFGEF2,"HP:0001627, HP:0001654",2,,
68,ARHGAP31,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",19,0.031901643,
69,ARID1A,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
70,ARID1B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.003824037
71,ARID2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.002300438
72,ARL 3.00,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
73,ARL 6.00,"HP:0001627, HP:0001711, HP:0001713",3,,
74,ARL13B,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
75,ARL2BP,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,3.60497E-05,
76,ARMC9,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,0.029528204
77,ARSB,"HP:0001627, HP:0001654",2,,
78,ARSL,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
79,ARVCF,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011663, HP:0011994",18,0.014224494,
80,ARX,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
81,ASCC1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
82,ASXL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.012146706
83,ASXL2,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
84,ATAD3A,HP:0001627,1,,
85,ATIC,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
86,ATN1,"HP:0001627, HP:0001671",2,,
87,ATP1A2,HP:0001627,1,,
88,ATP1A3,HP:0001627,1,,
89,ATP5F1D,HP:0001627,1,,
90,ATP5F1E,HP:0001627,1,,
91,ATP5MK,HP:0001627,1,,
92,ATP6,HP:0001627,1,,
93,ATP6AP2,"HP:0001627, HP:0001711, HP:0001713",3,0.010764002,
94,ATP6V0A2,"HP:0001627, HP:0001671, HP:0011994, HP:0011995",4,,
95,ATP6V1A,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
96,ATP6V1B2,"HP:0001627, HP:0001710, HP:0001719, HP:0011545, HP:0011563, HP:0011723",6,,
97,ATP6V1E1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001739, HP:0005120, HP:0006705, HP:0011994",9,0.001343147,
98,ATPAF2,HP:0001627,1,,
