No,gene,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
258,CRKL,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.030271922,
259,CRYAB,HP:0001627,1,9.16761E-07,
260,CSGALNACT1,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,
261,CSNK2A1,HP:0001627,1,,
262,CSPP1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
263,CSRP3,"HP:0001627, HP:0001706",2,6.78823E-09,
264,CTBP1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,7.62034E-07,
265,CTCF,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.025660893
266,CTLA4,HP:0001627,1,,
267,CTU2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
268,CUL3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
269,CWC27,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
270,CXCR4,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
271,CYP27A1,"HP:0001627, HP:0001671, HP:0011994",3,,
272,CYTB,"HP:0001627, HP:0001629, HP:0001671, HP:0001711, HP:0001713, HP:0010438",6,,
273,D2HGDH,HP:0001627,1,,0.015096267
274,DACT1,"HP:0001627, HP:0001631, HP:0001636, HP:0001641, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
275,DAXX,"HP:0001627, HP:0001641, HP:0001654, HP:0031566",4,,
276,DCAF8,HP:0001627,1,7.87415E-08,
277,DCHS1,"HP:0001627, HP:0001654, HP:0001669, HP:0006705",4,0.010520667,
278,DDX11,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,0.014709915
279,DDX3X,"HP:0001627, HP:0001641, HP:0001654, HP:0005164",4,0.046168523,
280,DDX59,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
281,DDX6,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
282,DEF6,"HP:0001627, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0011994",7,,
283,DES,HP:0001627,1,1.98254E-06,
284,DGCR2,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,
285,DGCR6,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,0.025546455,
286,DGCR8,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,
287,DHCR7,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
288,DISP1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
289,DLD,HP:0001627,1,0.005527854,
290,DLK1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
291,DLL1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
292,DLL4,"HP:0001627, HP:0001629, HP:0001636, HP:0001641, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",11,,
293,DMD,"HP:0001627, HP:0001711, HP:0001713",3,,
294,DMXL2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
295,DNAAF1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
296,DNAAF11,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
297,DNAAF2,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
298,DNAAF3,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
299,DNAAF4,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
300,DNAAF5,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
301,DNAAF6,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
302,DNAH1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.022445168
303,DNAH11,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
304,DNAH5,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
305,DNAH9,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
306,DNAI1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
307,DNAI2,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.026749143
308,DNAJB11,"HP:0001627, HP:0001654, HP:0001756, HP:0006705",4,,
309,DNAJB13,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.013091208
310,DNAJC19,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0011623",6,4.21907E-05,
311,DNAJC21,HP:0001627,1,0.003015543,
312,DNAJC30,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001714, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
313,DNAL1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
314,DNASE1,HP:0001627,1,,0.0204618
315,DNASE1L3,"HP:0001627, HP:0001654",2,,
316,DNMT3A,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
317,DOCK6,"HP:0001627, HP:0001636, HP:0001641, HP:0001654, HP:0001710, HP:0011545, HP:0011563",7,,
318,DOLK,HP:0001627,1,,
319,DPF2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,0.008203956,
320,DPH1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.009044123
321,DPM3,HP:0001627,1,,
322,DRC1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
323,DSC2,HP:0001627,1,,
324,DSE,"HP:0001627, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001691, HP:0005120, HP:0006705, HP:0011994",9,,
325,DSG1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
326,DSG2,HP:0001627,1,,
327,DSP,HP:0001627,1,,
328,DTNA,"HP:0001627, HP:0001629, HP:0001671, HP:0001711, HP:0001713, HP:0001961, HP:0004383, HP:0010438, HP:0030681, HP:0031192, HP:0045017",11,,
329,DVL3,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0001961, HP:0005120, HP:0010438, HP:0010954, HP:0011723, HP:0011994",12,,
330,DYNC2I1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
331,DYNC2LI1,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011994",13,,
332,DYRK1A,"HP:0001627, HP:0001629, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0010438",7,,0.002011434
333,DYSF,"HP:0001627, HP:0001707, HP:0001713",3,,
334,DZIP1,"HP:0001627, HP:0001654, HP:0001764, HP:0006705",4,,
335,EBP,HP:0001627,1,,
336,ECE1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
337,ECHS1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.04113289,
338,EDNRA,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.032921667,
339,EFEMP2,"HP:0001627, HP:0001713",2,0.016741105,
340,EFL1,HP:0001627,1,,
341,EFTUD2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
342,EGFR,"HP:0001627, HP:0001711, HP:0001713",3,,
343,EHMT1,"HP:0001627, HP:0001636, HP:0001671, HP:0001710, HP:0011545, HP:0011563",6,,0.027925757
344,EIF2AK3,"HP:0001627, HP:0001631, HP:0001671, HP:0001710, HP:0001719, HP:0005120, HP:0011545, HP:0011563, HP:0011723, HP:0011994",10,,0.006528789
345,EIF2AK4,HP:0001627,1,,
346,EIF4H,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001668, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
347,ELAC2,HP:0001627,1,,
348,ELN,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001650, HP:0001654, HP:0001671, HP:0001683, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",18,3.47359E-06,
349,EMD,HP:0001627,1,0.011676942,
350,ENPP1,"HP:0001627, HP:0001654, HP:0001713, HP:0006705",4,,
351,EOGT,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",14,,
352,EP300,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",12,,
353,EPB42,HP:0001627,1,,
354,EPCAM,"HP:0001627, HP:0001713, HP:0100571",3,,0.00625866
355,EPG5,"HP:0001627, HP:0001711, HP:0001713",3,,0.005119779
356,EPHB4,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
357,ERAP1,HP:0001627,1,,
358,ERBB3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
359,ERCC2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
360,ERCC3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
361,ERCC4,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.041176069,
362,ERCC6,HP:0001627,1,,
363,ERCC8,HP:0001627,1,,
364,ERGIC1,HP:0001627,1,,
365,ERMARD,"HP:0001627, HP:0001654",2,,
366,ESCO2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.010587385,
367,ESPN,"HP:0001627, HP:0001711, HP:0001713",3,,0.029239045
368,ESS2,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,
369,EVC,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011565, HP:0011994",14,,
370,EVC2,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011565, HP:0011994",14,,
371,EXOC2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
372,EXOC6B,HP:0001627,1,,
373,EXT2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
374,EXTL3,"HP:0001627, HP:0001654, HP:0001795, HP:0006705",4,0.004296028,
375,EYA4,HP:0001627,1,,
376,FADD,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000592893,
377,FAH,HP:0001627,1,,
378,FAM149B1,HP:0001627,1,0.025660741,
379,FAN1,"HP:0001627, HP:0001713, HP:0100571",3,,
380,FANCA,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
381,FANCB,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001669, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011545, HP:0011563, HP:0011994",16,,
382,FANCC,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",14,,
383,FANCD2,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
384,FANCE,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.012390191,
385,FANCF,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.003196411,
386,FANCG,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
387,FANCI,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",15,,
388,FANCL,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
389,FANCM,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
390,FAS,HP:0001627,1,,
391,FASTKD2,HP:0001627,1,,
392,FAT4,HP:0001627,1,,
393,FBLN5,"HP:0001627, HP:0001713",2,0.03786976,
394,FBN1,"HP:0001627, HP:0001629, HP:0001646, HP:0001647, HP:0001648, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0001738, HP:0001747, HP:0001758, HP:0001807, HP:0001808, HP:0006705, HP:0010438",16,0.011412404,
395,FBN2,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001665, HP:0001671, HP:0001689, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011994",14,0.004927084,
396,FBXL4,HP:0001627,1,,
397,FBXW11,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,0.038513516
398,FCGR2A,"HP:0001627, HP:0001707, HP:0001713",3,,
399,FCGR2B,HP:0001627,1,,
400,FDFT1,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
401,FGF13,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
402,FGF8,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
403,FGFR1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011103, HP:0011545, HP:0011563, HP:0011994",17,,
404,FGFR2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
405,FGFR3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.022878347
406,FGFRL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
407,FHL1,"HP:0001627, HP:0001713",2,0.000223236,
408,FHL2,HP:0001627,1,1.24821E-05,
409,FHOD3,"HP:0001627, HP:0005120, HP:0025579",3,0.000873236,
410,FIBP,"HP:0001627, HP:0001629, HP:0001654, HP:0001671, HP:0001688, HP:0001707, HP:0001713, HP:0001750, HP:0006705, HP:0010438",10,0.000321877,
411,FIG4,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",13,,
412,FKBP6,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001680, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
413,FKRP,"HP:0001627, HP:0001711, HP:0001713",3,,
414,FKTN,"HP:0001627, HP:0001631, HP:0001669, HP:0001671, HP:0005120, HP:0011545, HP:0011563, HP:0011994",8,,
415,FLAD1,HP:0001627,1,,
416,FLCN,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
417,FLI1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0001961, HP:0004383, HP:0010438, HP:0045017",8,,
418,FLNA,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001702, HP:0001707, HP:0001708, HP:0001713, HP:0001775, HP:0001804, HP:0006692, HP:0006705, HP:0011580, HP:0025523, HP:0031442",16,0.007894512,
419,FLNB,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
420,FLNC,"HP:0001627, HP:0005120, HP:0025579, HP:0025580",4,5.36528E-05,
421,FLT4,"HP:0001627, HP:0001636, HP:0001641, HP:0001654, HP:0001710, HP:0005134, HP:0011545, HP:0011563",8,,
422,FMN2,"HP:0001627, HP:0001654, HP:0001753, HP:0006705",4,,
423,FMR1,"HP:0001627, HP:0001654, HP:0001663, HP:0001674, HP:0001701, HP:0006705",6,,
424,FOS,HP:0001627,1,,
425,FOXC1,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,6.45975E-05,
426,FOXC2,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,0.047628321,
427,FOXE3,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
428,FOXF1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001662, HP:0001671, HP:0001702, HP:0001707, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0010882, HP:0011545, HP:0011563, HP:0011571, HP:0011994, HP:0025523, HP:0030732, HP:0045017",29,,0.001932893
429,FOXH1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
430,FOXJ1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
431,FOXP1,HP:0001627,1,,
432,FOXRED1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
433,FRAS1,HP:0001627,1,,
434,FREM1,"HP:0001627, HP:0001654, HP:0001702, HP:0006705, HP:0010316",5,,
435,FTCD,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.030255406
436,FTO,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,0.002448549
437,FUCA1,HP:0001627,1,,
438,FUT8,"HP:0001627, HP:0001671",2,,
439,FXN,HP:0001627,1,,
440,G6PC3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0010774, HP:0011994",6,,
441,GAA,"HP:0001627, HP:0001711, HP:0001713",3,,
442,GABRD,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
443,GALNS,"HP:0001627, HP:0001654",2,,
444,GANAB,"HP:0001627, HP:0001634, HP:0001654, HP:0006705",4,0.041927065,
445,GAS1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
446,GAS2L2,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
447,GAS8,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.04616062
448,GATA1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001674, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",10,,
449,GATA3,HP:0001627,1,,
450,GATA4,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001669, HP:0001671, HP:0001707, HP:0001710, HP:0001713, HP:0001765, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0010445, HP:0011545, HP:0011563, HP:0011994, HP:0025580, HP:0045017",23,2.32202E-06,
451,GATA5,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001711, HP:0001713, HP:0001719, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011103, HP:0011545, HP:0011563, HP:0011723, HP:0011994, HP:0045017",22,0.035821709,
452,GATA6,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001655, HP:0001669, HP:0001671, HP:0001674, HP:0001684, HP:0001702, HP:0001707, HP:0001710, HP:0001711, HP:0001713, HP:0001719, HP:0001735, HP:0004762, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011573, HP:0011581, HP:0011623, HP:0011628, HP:0011629, HP:0011682, HP:0011723, HP:0011994, HP:0025580",33,0.000476023,
453,GATAD1,HP:0001627,1,,
454,GATB,HP:0001627,1,,
455,GATC,HP:0001627,1,,
456,GBA,"HP:0001627, HP:0001645, HP:0001646, HP:0001654, HP:0001730, HP:0001743, HP:0006705",7,,
457,GBE1,HP:0001627,1,,
458,GCK,HP:0001627,1,,
459,GDF1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001651, HP:0001669, HP:0001671, HP:0001674, HP:0001684, HP:0001696, HP:0001710, HP:0001713, HP:0001719, HP:0001750, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011535, HP:0011545, HP:0011563, HP:0011565, HP:0011723, HP:0011994",24,,
460,GDF3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
461,GDF6,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.002619102,
462,GJA1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001736, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0010445, HP:0011545, HP:0011546, HP:0011560, HP:0011622, HP:0011994, HP:0045017",20,0.026260013,
463,GJA5,"HP:0001627, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001669, HP:0001706, HP:0001710, HP:0011545, HP:0011563",10,0.000804411,
464,GJA8,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001669, HP:0011545, HP:0011563",7,,
465,GLA,"HP:0001627, HP:0001646, HP:0001654, HP:0001671, HP:0001711, HP:0001713, HP:0010438",7,,0.018327542
466,GLB1,"HP:0001627, HP:0001654",2,,
467,GLI1,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011994",13,,
468,GLI2,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
469,GLI3,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
470,GLRX5,"HP:0001627, HP:0001711, HP:0001713",3,0.045079625,
471,GMPPB,"HP:0001627, HP:0001713",2,,
472,GNAO1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
473,GNB2,"HP:0001627, HP:0001629, HP:0001654, HP:0001669, HP:0001671, HP:0001710, HP:0001711, HP:0001713, HP:0001719, HP:0001773, HP:0001961, HP:0004383, HP:0006705, HP:0010438, HP:0011103, HP:0011545, HP:0011546, HP:0011560, HP:0011563, HP:0011623, HP:0011723, HP:0045017",22,2.43038E-08,
474,GNB5,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
475,GNE,HP:0001627,1,,
476,GNPTAB,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0001810, HP:0005120, HP:0006705, HP:0011994",12,,
477,GNS,HP:0001627,1,0.002426699,
478,GP1BB,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011670, HP:0011994",18,,
