gene_short_name,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
ALG12,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011623, HP:0011994",10,,
ALG3,HP:0001627,1,0.001966176,
ALG8,"HP:0001627, HP:0001671",2,,
ALG9,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001695, HP:0001707, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011103, HP:0011994",14,,
ALKBH8,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ALMS1,HP:0001627,1,,
ALPK3,HP:0001627,1,0.045562712,
ALX1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
ALX3,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
AMER1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.04919164,
AMMECR1,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001655, HP:0001671, HP:0005120, HP:0011994",8,,0.009786994
ANK1,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001671, HP:0005120, HP:0006705, HP:0011994",8,,
ANKRD1,HP:0001627,1,3.04354E-09,
ANKRD11,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0045017",6,,0.016544394
ANKS6,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
ANO5,HP:0001627,1,,
APC2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
APOB,"HP:0001627, HP:0001713",2,,
ARCN1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.006463323,
ARF1,"HP:0001627, HP:0001654",2,1.09809E-05,
ARFGEF2,"HP:0001627, HP:0001654",2,,
ARHGAP31,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994, HP:0045017",19,0.031901643,
ARID1A,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
ARID1B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.003824037
ARID2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.002300438
ARL 3.00,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
ARL 6.00,"HP:0001627, HP:0001711, HP:0001713",3,,
ARL13B,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
ARL2BP,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,3.60497E-05,
ARMC9,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,0.029528204
ARSB,"HP:0001627, HP:0001654",2,,
ARSL,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
ARVCF,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011663, HP:0011994",18,0.014224494,
ARX,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ASCC1,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
ASXL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.012146706
ASXL2,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
ATAD3A,HP:0001627,1,,
ATIC,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
ATN1,"HP:0001627, HP:0001671",2,,
ATP1A2,HP:0001627,1,,
ATP1A3,HP:0001627,1,,
ATP5F1D,HP:0001627,1,,
ATP5F1E,HP:0001627,1,,
ATP5MK,HP:0001627,1,,
ATP6,HP:0001627,1,,
ATP6AP2,"HP:0001627, HP:0001711, HP:0001713",3,0.010764002,
ATP6V0A2,"HP:0001627, HP:0001671, HP:0011994, HP:0011995",4,,
ATP6V1A,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
ATP6V1B2,"HP:0001627, HP:0001710, HP:0001719, HP:0011545, HP:0011563, HP:0011723",6,,
ATP6V1E1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001739, HP:0005120, HP:0006705, HP:0011994",9,0.001343147,
ATPAF2,HP:0001627,1,,
ATRX,"HP:0001627, HP:0001629, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0010438, HP:0011682, HP:0031566",9,,
AUTS2,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
B2M,HP:0001627,1,0.000923374,
B3GALT6,"HP:0001627, HP:0001629, HP:0001631, HP:0001642, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011994",13,0.001443982,
B3GAT3,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001672, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0011994",13,,
B3GLCT,"HP:0001627, HP:0001629, HP:0001631, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0005182, HP:0010438, HP:0011994, HP:0031566, HP:0045017",15,,
B9D1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
B9D2,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
BAG3,HP:0001627,1,0.006240994,
BANF1,"HP:0001627, HP:0005120, HP:0025579, HP:0025580",4,4.23255E-06,
BAZ1B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001699, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
BBS1,"HP:0001627, HP:0001711, HP:0001713",3,,
BBS2,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0005120, HP:0011994",8,,
BCAS3,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,0.005973386
BCL7B,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001737, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,0.042824897,
BCOR,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001651, HP:0001654, HP:0001657, HP:0001671, HP:0001710, HP:0001713, HP:0001719, HP:0001805, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011723, HP:0011994",20,,
BCR,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
BCS1L,HP:0001627,1,0.022666057,
BICC1,"HP:0001627, HP:0001654, HP:0001720, HP:0006705",4,,
BICRA,"HP:0001627, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",10,,
BIN1,"HP:0001627, HP:0001654, HP:0001711, HP:0001713",4,,
BMP2,"HP:0001627, HP:0001629, HP:0001631, HP:0001669, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011682, HP:0011994",12,,
BMPR1A,"HP:0001627, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0011994, HP:0100571",7,,
BMPR2,"HP:0001627, HP:0001707, HP:0001713",3,,
BOLA3,HP:0001627,1,0.010687291,
BRAF,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001652, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001802, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",19,,0.00022323
BRCA1,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
BRCA2,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
BRCC3,HP:0001627,1,,
