gene_short_name,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
CUL3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
CWC27,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
CXCR4,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
CYP27A1,"HP:0001627, HP:0001671, HP:0011994",3,,
CYTB,"HP:0001627, HP:0001629, HP:0001671, HP:0001711, HP:0001713, HP:0010438",6,,
D2HGDH,HP:0001627,1,,0.015096267
DACT1,"HP:0001627, HP:0001631, HP:0001636, HP:0001641, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
DAXX,"HP:0001627, HP:0001641, HP:0001654, HP:0031566",4,,
DCAF8,HP:0001627,1,7.87415E-08,
DCHS1,"HP:0001627, HP:0001654, HP:0001669, HP:0006705",4,0.010520667,
DDX11,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,0.014709915
DDX3X,"HP:0001627, HP:0001641, HP:0001654, HP:0005164",4,0.046168523,
DDX59,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
DDX6,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
DEF6,"HP:0001627, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0011994",7,,
DES,HP:0001627,1,1.98254E-06,
DGCR2,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,
DGCR6,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,0.025546455,
DGCR8,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,
DHCR7,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
DISP1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
DLD,HP:0001627,1,0.005527854,
DLK1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
DLL1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
DLL4,"HP:0001627, HP:0001629, HP:0001636, HP:0001641, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",11,,
DMD,"HP:0001627, HP:0001711, HP:0001713",3,,
DMXL2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
DNAAF1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAAF11,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAAF2,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAAF3,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAAF4,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAAF5,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAAF6,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAH1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.022445168
DNAH11,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAH5,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAH9,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAI1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNAI2,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.026749143
DNAJB11,"HP:0001627, HP:0001654, HP:0001756, HP:0006705",4,,
DNAJB13,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.013091208
DNAJC19,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438, HP:0011623",6,4.21907E-05,
DNAJC21,HP:0001627,1,0.003015543,
DNAJC30,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001714, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
DNAL1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DNASE1,HP:0001627,1,,0.0204618
DNASE1L3,"HP:0001627, HP:0001654",2,,
DNMT3A,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
DOCK6,"HP:0001627, HP:0001636, HP:0001641, HP:0001654, HP:0001710, HP:0011545, HP:0011563",7,,
DOLK,HP:0001627,1,,
DPF2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,0.008203956,
DPH1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.009044123
DPM3,HP:0001627,1,,
DRC1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
DSC2,HP:0001627,1,,
DSE,"HP:0001627, HP:0001631, HP:0001654, HP:0001655, HP:0001671, HP:0001691, HP:0005120, HP:0006705, HP:0011994",9,,
DSG1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
DSG2,HP:0001627,1,,
DSP,HP:0001627,1,,
DTNA,"HP:0001627, HP:0001629, HP:0001671, HP:0001711, HP:0001713, HP:0001961, HP:0004383, HP:0010438, HP:0030681, HP:0031192, HP:0045017",11,,
DVL3,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0001961, HP:0005120, HP:0010438, HP:0010954, HP:0011723, HP:0011994",12,,
DYNC2I1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
DYNC2LI1,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011994",13,,
DYRK1A,"HP:0001627, HP:0001629, HP:0001641, HP:0001654, HP:0001671, HP:0001713, HP:0010438",7,,0.002011434
DYSF,"HP:0001627, HP:0001707, HP:0001713",3,,
DZIP1,"HP:0001627, HP:0001654, HP:0001764, HP:0006705",4,,
EBP,HP:0001627,1,,
ECE1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
ECHS1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.04113289,
EDNRA,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.032921667,
EFEMP2,"HP:0001627, HP:0001713",2,0.016741105,
EFL1,HP:0001627,1,,
EFTUD2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
EGFR,"HP:0001627, HP:0001711, HP:0001713",3,,
EHMT1,"HP:0001627, HP:0001636, HP:0001671, HP:0001710, HP:0011545, HP:0011563",6,,0.027925757
EIF2AK3,"HP:0001627, HP:0001631, HP:0001671, HP:0001710, HP:0001719, HP:0005120, HP:0011545, HP:0011563, HP:0011723, HP:0011994",10,,0.006528789
EIF2AK4,HP:0001627,1,,
EIF4H,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001668, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
ELAC2,HP:0001627,1,,
ELN,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001650, HP:0001654, HP:0001671, HP:0001683, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",18,3.47359E-06,
EMD,HP:0001627,1,0.011676942,
ENPP1,"HP:0001627, HP:0001654, HP:0001713, HP:0006705",4,,
EOGT,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",14,,
EP300,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",12,,
EPB42,HP:0001627,1,,
EPCAM,"HP:0001627, HP:0001713, HP:0100571",3,,0.00625866
EPG5,"HP:0001627, HP:0001711, HP:0001713",3,,0.005119779
EPHB4,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
ERAP1,HP:0001627,1,,
ERBB3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ERCC2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ERCC3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ERCC4,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.041176069,
ERCC6,HP:0001627,1,,
ERCC8,HP:0001627,1,,
ERGIC1,HP:0001627,1,,
ERMARD,"HP:0001627, HP:0001654",2,,
ESCO2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,0.010587385,
ESPN,"HP:0001627, HP:0001711, HP:0001713",3,,0.029239045
ESS2,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,,
EVC,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011565, HP:0011994",14,,
EVC2,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011565, HP:0011994",14,,
EXOC2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
EXOC6B,HP:0001627,1,,
EXT2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
EXTL3,"HP:0001627, HP:0001654, HP:0001795, HP:0006705",4,0.004296028,
EYA4,HP:0001627,1,,
FADD,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000592893,
FAH,HP:0001627,1,,
FAM149B1,HP:0001627,1,0.025660741,
FAN1,"HP:0001627, HP:0001713, HP:0100571",3,,
FANCA,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
FANCB,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001669, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011545, HP:0011563, HP:0011994",16,,
FANCC,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",14,,
FANCD2,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
FANCE,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.012390191,
FANCF,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,0.003196411,
FANCG,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
FANCI,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",15,,
FANCL,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
FANCM,"HP:0001627, HP:0001631, HP:0001636, HP:0001646, HP:0001654, HP:0001671, HP:0001710, HP:0005120, HP:0011545, HP:0011563, HP:0011994",11,,
FAS,HP:0001627,1,,
FASTKD2,HP:0001627,1,,
FAT4,HP:0001627,1,,
FBLN5,"HP:0001627, HP:0001713",2,0.03786976,
FBN1,"HP:0001627, HP:0001629, HP:0001646, HP:0001647, HP:0001648, HP:0001654, HP:0001671, HP:0001702, HP:0001713, HP:0001738, HP:0001747, HP:0001758, HP:0001807, HP:0001808, HP:0006705, HP:0010438",16,0.011412404,
FBN2,"HP:0001627, HP:0001629, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001665, HP:0001671, HP:0001689, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011994",14,0.004927084,
FBXL4,HP:0001627,1,,
FBXW11,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,0.038513516
FCGR2A,"HP:0001627, HP:0001707, HP:0001713",3,,
FCGR2B,HP:0001627,1,,
FDFT1,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
FGF13,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
FGF8,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
FGFR1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001711, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011103, HP:0011545, HP:0011563, HP:0011994",17,,
FGFR2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
FGFR3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.022878347
FGFRL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
FHL1,"HP:0001627, HP:0001713",2,0.000223236,
FHL2,HP:0001627,1,1.24821E-05,
FHOD3,"HP:0001627, HP:0005120, HP:0025579",3,0.000873236,
FIBP,"HP:0001627, HP:0001629, HP:0001654, HP:0001671, HP:0001688, HP:0001707, HP:0001713, HP:0001750, HP:0006705, HP:0010438",10,0.000321877,
FIG4,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001655, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",13,,
FKBP6,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001680, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
FKRP,"HP:0001627, HP:0001711, HP:0001713",3,,
FKTN,"HP:0001627, HP:0001631, HP:0001669, HP:0001671, HP:0005120, HP:0011545, HP:0011563, HP:0011994",8,,
FLAD1,HP:0001627,1,,
FLCN,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
FLI1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0001961, HP:0004383, HP:0010438, HP:0045017",8,,
FLNA,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001702, HP:0001707, HP:0001708, HP:0001713, HP:0001775, HP:0001804, HP:0006692, HP:0006705, HP:0011580, HP:0025523, HP:0031442",16,0.007894512,
FLNB,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
FLNC,"HP:0001627, HP:0005120, HP:0025579, HP:0025580",4,5.36528E-05,
FLT4,"HP:0001627, HP:0001636, HP:0001641, HP:0001654, HP:0001710, HP:0005134, HP:0011545, HP:0011563",8,,
FMN2,"HP:0001627, HP:0001654, HP:0001753, HP:0006705",4,,
FMR1,"HP:0001627, HP:0001654, HP:0001663, HP:0001674, HP:0001701, HP:0006705",6,,
FOS,HP:0001627,1,,
FOXC1,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,6.45975E-05,
FOXC2,"HP:0001627, HP:0001629, HP:0001636, HP:0001671, HP:0001710, HP:0001713, HP:0010438, HP:0011545, HP:0011563",9,0.047628321,
FOXE3,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,,
FOXF1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001662, HP:0001671, HP:0001702, HP:0001707, HP:0001710, HP:0001713, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0010882, HP:0011545, HP:0011563, HP:0011571, HP:0011994, HP:0025523, HP:0030732, HP:0045017",29,,0.001932893
FOXH1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
FOXJ1,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
FOXP1,HP:0001627,1,,
FOXRED1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
FRAS1,HP:0001627,1,,
FREM1,"HP:0001627, HP:0001654, HP:0001702, HP:0006705, HP:0010316",5,,
FTCD,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.030255406
FTO,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,0.002448549
FUCA1,HP:0001627,1,,
FUT8,"HP:0001627, HP:0001671",2,,
FXN,HP:0001627,1,,
G6PC3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0010774, HP:0011994",6,,
GAA,"HP:0001627, HP:0001711, HP:0001713",3,,
GABRD,"HP:0001627, HP:0001636, HP:0001654, HP:0001671, HP:0001710, HP:0011545, HP:0011563",7,,
GALNS,"HP:0001627, HP:0001654",2,,
GANAB,"HP:0001627, HP:0001634, HP:0001654, HP:0006705",4,0.041927065,
GAS1,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
GAS2L2,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,
GAS8,"HP:0001627, HP:0001651, HP:0001669, HP:0001696, HP:0001710, HP:0001719, HP:0005120, HP:0011534, HP:0011535, HP:0011539, HP:0011545, HP:0011563, HP:0011723",13,,0.04616062
GATA1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001674, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",10,,
GATA3,HP:0001627,1,,
GATA4,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001669, HP:0001671, HP:0001707, HP:0001710, HP:0001713, HP:0001765, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0010445, HP:0011545, HP:0011563, HP:0011994, HP:0025580, HP:0045017",23,2.32202E-06,
GATA5,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001711, HP:0001713, HP:0001719, HP:0001961, HP:0004383, HP:0005120, HP:0010438, HP:0011103, HP:0011545, HP:0011563, HP:0011723, HP:0011994, HP:0045017",22,0.035821709,
GATA6,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001654, HP:0001655, HP:0001669, HP:0001671, HP:0001674, HP:0001684, HP:0001702, HP:0001707, HP:0001710, HP:0001711, HP:0001713, HP:0001719, HP:0001735, HP:0004762, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011573, HP:0011581, HP:0011623, HP:0011628, HP:0011629, HP:0011682, HP:0011723, HP:0011994, HP:0025580",33,0.000476023,
GATAD1,HP:0001627,1,,
GATB,HP:0001627,1,,
GATC,HP:0001627,1,,
GBA,"HP:0001627, HP:0001645, HP:0001646, HP:0001654, HP:0001730, HP:0001743, HP:0006705",7,,
GBE1,HP:0001627,1,,
GCK,HP:0001627,1,,
GDF1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001651, HP:0001669, HP:0001671, HP:0001674, HP:0001684, HP:0001696, HP:0001710, HP:0001713, HP:0001719, HP:0001750, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011535, HP:0011545, HP:0011563, HP:0011565, HP:0011723, HP:0011994",24,,
GDF3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
GDF6,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.002619102,
GJA1,"HP:0001627, HP:0001629, HP:0001631, HP:0001654, HP:0001671, HP:0001713, HP:0001736, HP:0001961, HP:0004383, HP:0005120, HP:0006695, HP:0006705, HP:0010438, HP:0010445, HP:0011545, HP:0011546, HP:0011560, HP:0011622, HP:0011994, HP:0045017",20,0.026260013,
GJA5,"HP:0001627, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001669, HP:0001706, HP:0001710, HP:0011545, HP:0011563",10,0.000804411,
GJA8,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001669, HP:0011545, HP:0011563",7,,
GLA,"HP:0001627, HP:0001646, HP:0001654, HP:0001671, HP:0001711, HP:0001713, HP:0010438",7,,0.018327542
GLB1,"HP:0001627, HP:0001654",2,,
GLI1,"HP:0001627, HP:0001629, HP:0001631, HP:0001651, HP:0001654, HP:0001671, HP:0001696, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011534, HP:0011994",13,,
GLI2,"HP:0001627, HP:0001636, HP:0001710, HP:0011545, HP:0011563",5,,
GLI3,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0006695, HP:0010438, HP:0011994",9,,
GLRX5,"HP:0001627, HP:0001711, HP:0001713",3,0.045079625,
GMPPB,"HP:0001627, HP:0001713",2,,
GNAO1,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
GNB2,"HP:0001627, HP:0001629, HP:0001654, HP:0001669, HP:0001671, HP:0001710, HP:0001711, HP:0001713, HP:0001719, HP:0001773, HP:0001961, HP:0004383, HP:0006705, HP:0010438, HP:0011103, HP:0011545, HP:0011546, HP:0011560, HP:0011563, HP:0011623, HP:0011723, HP:0045017",22,2.43038E-08,
GNB5,"HP:0001627, HP:0001631, HP:0001655, HP:0001671, HP:0005120, HP:0011994",6,,
GNE,HP:0001627,1,,
GNPTAB,"HP:0001627, HP:0001631, HP:0001646, HP:0001654, HP:0001655, HP:0001671, HP:0001711, HP:0001713, HP:0001810, HP:0005120, HP:0006705, HP:0011994",12,,
GNS,HP:0001627,1,0.002426699,
GP1BB,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001641, HP:0001646, HP:0001654, HP:0001671, HP:0001702, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011670, HP:0011994",18,,
GPC3,"HP:0001627, HP:0001629, HP:0001631, HP:0001669, HP:0001671, HP:0001707, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,0.034471737
GPC4,"HP:0001627, HP:0001629, HP:0001631, HP:0001669, HP:0001671, HP:0001707, HP:0001713, HP:0005120, HP:0010438, HP:0011545, HP:0011563, HP:0011994",12,,
GPC6,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
GPR101,"HP:0001627, HP:0001713",2,,
GPX4,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,5.32947E-06,
GRM7,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
GSN,HP:0001627,1,0.002922495,
GTF2E2,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
GTF2H5,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,0.000494093,
GTF2I,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001656, HP:0001671, HP:0001710, HP:0001713, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,0.004009237
GTF2IRD1,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001798, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,0.026587771
GTF2IRD2,"HP:0001627, HP:0001629, HP:0001631, HP:0001636, HP:0001646, HP:0001647, HP:0001654, HP:0001671, HP:0001710, HP:0001713, HP:0001723, HP:0005120, HP:0006705, HP:0010438, HP:0011545, HP:0011563, HP:0011994",17,,
GTPBP3,"HP:0001627, HP:0001707, HP:0001711, HP:0001713",4,0.013302986,
GUSB,"HP:0001627, HP:0001654",2,0.039679063,
