Gene Symbol,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile
BSN,-3.96456086517933,0.194621372965322
BSND,-0.358119786745166,29.1637178579854
BSPH1,0.501689326076967,79.7888652984194
BSPRY,0.2205364837727,68.3828733191791
BST1,0.861712132576277,88.688369898561
BST2,-0.119252484052258,44.5388063222458
BSX,0.170987911949958,65.5579146025006
BTAF1,-1.72333600772574,2.46520405756075
BTBD1,-0.161524708908173,41.6430761972163
BTBD10,-0.227663163036465,37.1137060627507
BTBD11,-0.462894052095226,23.6258551545176
BTBD16,0.604424343166505,82.9028072658646
BTBD18,0.169169615482522,65.3338051427223
BTBD2,-0.622676945579702,17.3095069591885
BTBD3,-0.025608647402347,51.9167256428403
BTBD6,-0.889061810005535,10.3680113234253
BTBD7,-0.947938164534189,9.34182590233546
BTBD8,0.639420866278252,83.8995046001415
BTBD9,-0.957024975778408,9.08822835574428
BTC,0.327131069235345,73.2719981127624
BTD,0.0239414738038603,55.7560745458835
BTF3,-0.141298761971039,42.8756782259967
BTF3L4,0.0571185339035323,57.997169143666
BTG1,0.125076651719356,62.7388535031847
BTG2,-0.207437528858246,38.2814343005426
BTG3,-0.163345026923734,41.2479358339231
BTG4,-0.295622497334953,32.6197216324605
BTK,-0.117432389280715,44.8926633640009
